attr_feature_industry,attr_feature_regcap,attr_feature_n1,attr_feature_n2,attr_feature_n3,attr_feature_n4,attr_feature_c1,attr_feature_c2,attr_feature_c3,attr_feature_c4,attr_feature_sum_c1j,attr_feature_sum_c2j,attr_feature_sum_c3j,attr_feature_sum_c4j,attr_feature_rho1,attr_feature_rho2,attr_feature_rho3,attr_feature_rho4,attr_feature_beta1,attr_feature_beta2,attr_feature_beta3,attr_feature_beta4,attr_feature_1degree_num,attr_feature_2degree_num,attr_feature_MMWY_num,attr_feature_JDWY_num,attr_feature_JYYC_num,attr_feature_peroson_invest_num,attr_feature_fr_invest_num,attr_feature_SUPERVISOR_num,attr_feature_EXECUTIVE_num,attr_feature_DIRECTOR_num,attr_feature_LEGAL_num,attr_feature_L_E_num,attr_feature_L_S_num,attr_feature_L_D_num,attr_feature_D_S_num,attr_feature_D_E_num,attr_feature_S_E_num,attr_feature_L_E_D_num,attr_feature_L_E_S_num,attr_feature_L_D_S_num,attr_feature_E_D_S_num,attr_feature_L_E_D_S_num,company_name,node_id
租赁和商务服务业,120000000.0,3,4,17,33,0,1,5,0,3,4,17,38,0.0,0.166666667,0.036764706,0,1,1.0,1.0,1.151515152,3.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,安徽兴科创业投资发展有限公司,72d520be85b64979aee78e0976c7743c
租赁和商务服务业,50000000.0,8,9,7,14,0,0,0,0,8,11,9,17,0.0,0.0,0.0,0,1,1.222222222,1.285714286,1.214285714,8.0,9.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,杭州海贷金融信息服务有限公司,34060c93e12d4de4ac4d9733e85e1749
信息传输、软件和信息技术服务业,10000000.0,6,8,11,52,0,2,3,0,6,9,15,61,0.0,0.071428571,0.054545455,0,1,1.125,1.363636364,1.173076923,6.0,8.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,深圳前海迈龙网络技术有限公司,62af442ef390441bbebcb72e198eb88c
租赁和商务服务业,20000000.0,9,19,24,16,5,0,6,0,9,22,24,18,0.13888888900000002,0.0,0.02173913,0,1,1.157894737,1.0,1.125,9.0,19.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,大连峰岚投资有限公司,e8a152b0581c4748a5413fc17c2389d5
信息传输、软件和信息技术服务业,10000000.0,5,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,湖南联赢天下支付科技有限公司,fdf86bc2645643319ffb55bc38fc9c37
租赁和商务服务业,200000000.0,2,1,1,1,0,0,0,0,2,1,1,1,0.0,0.0,0.0,0,1,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,上海千栗金融信息服务有限公司,7c31577e35af4554aa26505640ea43f1
租赁和商务服务业,50000000.0,3,7,21,49,0,0,4,0,3,7,24,92,0.0,0.0,0.019047619,0,1,1.0,1.142857143,1.87755102,3.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,北京创赢投资咨询有限公司,4c9c0f911c444fb895fec574a42604cb
租赁和商务服务业,1200000.0,5,4,5,5,0,0,0,0,5,4,5,5,0.0,0.0,0.0,0,1,1.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,江阴市汇仁投资管理有限公司,82d2ca5cde0e432abc4920917362cbd3
租赁和商务服务业,11000000.0,2,4,1,0,0,0,0,0,2,4,4,0,0.0,0.0,0.0,0,1,1.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,青岛睿圣宏泰电子商务有限公司,51fa3c508b814108ab1e982bdbfe4e68
金融业,100000000.0,3,4,5,10,1,0,0,0,3,4,5,10,0.333333333,0.0,0.0,0,1,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,深圳钱途互联网金融服务有限公司,b349957e6c8f40aaaa05401f2a32a1a3
